name,blog_address,rss_url,topic,weekly_updates,network_status,error
lucumr.pocoo.org,https://lucumr.pocoo.org,https://lucumr.pocoo.org/feed.atom,Programming,0,OK,
matduggan.com,https://matduggan.com,https://matduggan.com/rss/,AI,0,OK,
micahflee.com,https://micahflee.com,https://micahflee.com/feed/,Security,0,OK,
michael.stapelberg.ch,https://michael.stapelberg.ch,https://michael.stapelberg.ch/feed.xml,Infra,0,OK,
miguelgrinberg.com,https://miguelgrinberg.com,https://blog.miguelgrinberg.com/feed,Programming,0,OK,
minimaxir.com,https://minimaxir.com,https://minimaxir.com/index.xml,AI,0,OK,
mitchellh.com,https://mitchellh.com,https://mitchellh.com/feed.xml,AI,0,OK,
mjg59.dreamwidth.org,https://mjg59.dreamwidth.org,https://mjg59.dreamwidth.org/data/rss,Programming,0,OK,
oldvcr.blogspot.com,https://oldvcr.blogspot.com,https://oldvcr.blogspot.com/feeds/posts/default,Programming,0,OK,
overreacted.io,https://overreacted.io,https://overreacted.io/rss.xml,Programming,0,OK,
paulgraham.com,https://paulgraham.com,http://www.aaronsw.com/2002/feeds/pgessays.rss,General Tech,0,OK,
philiplaine.com,https://philiplaine.com,https://philiplaine.com/index.xml,Infra,0,OK,
rachelbythebay.com,https://rachelbythebay.com,https://rachelbythebay.com/w/atom.xml,General Tech,0,ERROR,"HTTPSConnectionPool(host='rachelbythebay.com', port=443): Read timed out. (read timeout=6)"
rakhim.exotext.com,https://rakhim.exotext.com,https://rakhim.exotext.com/rss.xml,Programming,0,OK,
refactoringenglish.com,https://refactoringenglish.com,https://refactoringenglish.com/index.xml,Programming,0,OK,
righto.com,https://righto.com,https://www.righto.com/feeds/posts/default,Programming,0,OK,
simone.org,https://simone.org,https://simone.org/feed/,Web/Product,0,OK,
skyfall.dev,https://skyfall.dev,https://skyfall.dev/rss.xml,AI,0,OK,
tedium.co,https://tedium.co,https://feed.tedium.co/,Programming,0,OK,
tedunangst.com,https://tedunangst.com,https://www.tedunangst.com/flak/rss,General Tech,0,ERROR,"HTTPSConnectionPool(host='www.tedunangst.com', port=443): Read timed out. (read timeout=6)"
terriblesoftware.org,https://terriblesoftware.org,https://terriblesoftware.org/feed/,Programming,0,OK,
timsh.org,https://timsh.org,https://timsh.org/rss/,AI,0,OK,
tomrenner.com,https://tomrenner.com,https://tomrenner.com/index.xml,Security,0,OK,
utcc.utoronto.ca/~cks,https://utcc.utoronto.ca/~cks,https://utcc.utoronto.ca/~cks/space/blog/?atom,General Tech,0,ERROR,"HTTPSConnectionPool(host='utcc.utoronto.ca', port=443): Read timed out. (read timeout=6)"
xania.org,https://xania.org,https://xania.org/feed,AI,0,OK,
